period,timestep,profile_name,value
4,24,solar,0.0
4,24,transport_truck_bus_van_car_rail_aviation_maritime,0.5357005035682034
4,24,wind,0.1432091454664003
5,1,DHW_or_space,0.0447484712075358
5,1,RoR,0.4302910274736537
5,1,cool,0.0
5,1,elec,0.6918840100013998
5,1,solar,0.0
5,1,transport_truck_bus_van_car_rail_aviation_maritime,0.4632250826404112
5,1,wind,0.9257051888630212
5,2,DHW_or_space,0.0422090652992408
5,2,RoR,0.4302910274736537
5,2,cool,0.0
5,2,elec,0.6817428442991966
5,2,solar,0.0
5,2,transport_truck_bus_van_car_rail_aviation_maritime,0.459557474317763
5,2,wind,0.9178697024592738
5,3,DHW_or_space,0.0632796055965775
5,3,RoR,0.4302910274736537
5,3,cool,0.0
5,3,elec,0.6787999805023206
5,3,solar,0.0
5,3,transport_truck_bus_van_car_rail_aviation_maritime,0.4598310735949449
5,3,wind,0.9165355821649676
5,4,DHW_or_space,0.1324365967206753
5,4,RoR,0.4302910274736537
5,4,cool,0.0
5,4,elec,0.6782675077945113
5,4,solar,0.0
5,4,transport_truck_bus_van_car_rail_aviation_maritime,0.4594968062436789
5,4,wind,0.9255067753243033
5,5,DHW_or_space,0.3176067787791141
5,5,RoR,0.4302910274736537
5,5,cool,0.0
5,5,elec,0.6764907101178629
5,5,solar,0.0
5,5,transport_truck_bus_van_car_rail_aviation_maritime,0.4576786754348673
5,5,wind,0.9292295574569396
5,6,DHW_or_space,0.5573545855368389
5,6,RoR,0.4302910274736537
5,6,cool,0.0
5,6,elec,0.687922939044151
5,6,solar,0.0
5,6,transport_truck_bus_van_car_rail_aviation_maritime,0.5079304457185444
5,6,wind,0.934275664429101
5,7,DHW_or_space,0.6251443099490857
5,7,RoR,0.4302910274736537
5,7,cool,0.0
5,7,elec,0.514897144531111
5,7,solar,0.0
5,7,transport_truck_bus_van_car_rail_aviation_maritime,0.4610593657974524
5,7,wind,0.9475042098813566
5,8,DHW_or_space,0.5539699197663944
5,8,RoR,0.4302910274736537
5,8,cool,0.0
5,8,elec,0.3518365184512396
5,8,solar,0.0
5,8,transport_truck_bus_van_car_rail_aviation_maritime,0.4857920261087068
5,8,wind,0.9607610048243228
5,9,DHW_or_space,0.5012352443130952
5,9,RoR,0.4302910274736537
5,9,cool,0.0
5,9,elec,0.2778308205634606
5,9,solar,0.0411567955376907
5,9,transport_truck_bus_van_car_rail_aviation_maritime,0.4407326688147776
5,9,wind,0.9745039578490085
5,10,DHW_or_space,0.449410776043866
5,10,RoR,0.4302910274736537
