period,rep_period,weight
231,4,0.7113386610383606
232,2,0.04909119491226448
232,4,0.5960007273774679
232,5,0.35490807771026767
233,1,0.090051570806055
233,2,0.23036894409898515
233,4,0.574584804510062
233,5,0.10499468058489778
234,1,0.0647478877756894
234,2,0.36506760919168263
234,4,0.5701845030326279
235,2,0.3519045001168424
235,4,0.5219924900135463
235,5,0.1261030098696114
236,1,0.02974464562848348
236,2,0.29623788782293126
236,4,0.6149085290139226
236,5,0.059108937534662724
237,1,0.47440751140524157
237,2,0.05348470093632995
237,4,0.4721077876584285
238,2,0.32435391586911044
238,4,0.485614279540332
238,5,0.19003180459055763
239,1,0.2972788390871918
239,2,0.017670646683642443
239,4,0.39608946991229727
239,5,0.2889610443168685
240,2,0.17591723275019558
240,4,0.15107328536629294
240,5,0.6730094818835115
241,1,0.11477287511817069
241,2,0.19789671567652198
241,4,0.21816887422760917
241,5,0.4691615349776982
242,1,0.3733542147302458
242,2,0.10691302294596072
242,4,0.28550045804349794
242,5,0.23423230428029554
243,2,0.37659327544846743
243,4,0.3618005594902515
243,5,0.26160616506128104
244,1,0.2549525928050525
244,4,0.16741526239504176
244,5,0.5776321447999058
245,1,0.1775533084332487
245,2,0.14703523942818428
245,4,0.24293760498021333
245,5,0.43247384715835363
246,1,0.044189207213806765
246,2,0.06173200580194064
246,5,0.8940787869842526
247,1,0.07713532644213625
247,2,0.07562338920438796
247,4,0.043539766861046054
247,5,0.8037015174924297
248,1,0.10244878339493943
248,3,0.056612754618865134
248,4,0.23001962445306592
248,5,0.6109188375331295
249,1,0.3340907002987054
249,3,0.25051864480998026
249,4,0.24026311575951517
249,5,0.17512753913179915
250,1,0.24572227196068347
250,3,0.40792443739052353
250,4,0.2552888350239457
250,5,0.09106445562484726
251,2,0.28336402470461847
251,4,0.621255031273543
251,5,0.09538094402183853
252,1,0.06555747905086882
252,2,0.25570907007942933
252,4,0.4200786872435916
252,5,0.2586547636261104
253,1,0.23247510940552524
253,2,0.12544648121951193
253,4,0.252926467031301
253,5,0.38915194234366174
254,1,0.2857952202717608
254,2,0.1192864392280742
254,4,0.23775146633412847
254,5,0.35716687416603643
255,1,0.407534376184372
255,2,0.09022800659747948
255,4,0.3107632438883486
255,5,0.19147437332979997
256,1,0.18374330755786036
256,2,0.2708230125432737
256,4,0.06281370416397705
256,5,0.482619975734889
257,1,0.12516089151125795
257,2,0.26638354940275744
257,4,0.042045427316729125
257,5,0.5664101317692556
258,1,0.5095030157573885
258,4,0.08458109164244798
258,5,0.40591589260016353
259,1,0.21764529587566186
259,2,0.1526103226387095
259,4,0.017327912449173213
259,5,0.6124164690364554
260,1,0.4153719618102955
260,2,0.0700200013666361
260,3,0.03621570452801627
260,4,0.20135391185125362
260,5,0.27703842044379867
261,1,0.05938376026674367
261,2,0.5470045108412621
261,3,0.08549978637550991
261,4,0.3081119425164844
262,1,0.36620392991685546
262,2,0.1962020462757613
262,4,0.4375940238073832
263,1,0.35104406657545695
263,2,0.227979789000605
263,3,0.04854071274717063
263,4,0.37243543167676735
264,2,0.5837949135278737
264,3,0.07896342702059998
264,4,0.33724165945152634
265,2,0.4274844005395553
265,4,0.19643760299072027
265,5,0.37607799646972445
266,1,0.6999524205001159
266,4,0.1954827225138245
266,5,0.1045648569860596
267,1,0.5259296314793624
267,2,0.12204260215339939
267,3,0.17056590034809094
267,4,0.1814618660191472
268,1,0.5998944287990612
268,2,0.07854239287465525
268,3,0.17485716294066467
268,4,0.1467060153856189
269,1,0.12780927806793724
269,2,0.5181949327662021
269,3,0.12010073597746272
269,4,0.233895053188398
270,2,0.6461860932645009
270,3,0.13902149399821395
270,4,0.21479241273728508
271,1,0.5604386976788591
271,2,0.16800301636124762
271,4,0.1579601524827428
271,5,0.11359813347715055
272,1,0.7401773129984056
272,4,0.12650544867410043
272,5,0.13331723832749393
273,1,0.5781331615793719
273,2,0.18989537270991624
273,3,0.04428818365310463
273,4,0.1876832820576073
274,1,0.6533774266801544
274,4,0.0547311222672118
274,5,0.29189145105263375
275,1,0.5823976971981929
275,2,0.13243628888515838
275,4,0.06969294454652684
275,5,0.21547306937012195
276,1,0.11388537130224517
276,2,0.10213809384736479
276,5,0.7839765348503901
277,1,0.5579418273224466
277,5,0.44205817267755343
278,1,0.8346109917982223
278,3,0.026032767951740348
278,4,0.07810603416856257
278,5,0.06125020608147479
279,2,0.5471564410974491
279,5,0.452843558902551
280,1,0.46262625796027174
280,4,0.18620071769807908
280,5,0.35117302434164915
281,1,0.37826729911724144
281,2,0.057543622053613776
281,3,0.45882728245241533
281,4,0.01724001203944784
281,5,0.0881217843372816
282,1,0.07629308783269613
282,2,0.37246713049184593
282,3,0.1945462396859609
282,4,0.06317452289312712
282,5,0.2935190190963699
283,1,0.5578801877490054
283,3,0.11799458730982136
283,4,0.08745381837095431
283,5,0.236671406570219
284,1,0.09993557533324879
284,2,0.2489117066807752
284,3,0.018675951981893986
284,4,0.09750189168721687
284,5,0.5349748743168652
285,1,0.19865519442899499
285,3,0.2040297939428917
285,4,0.017314909427189194
285,5,0.5800001022009241
286,1,0.37540251642894795
286,3,0.5346719525370968
286,5,0.08992553103395542
287,1,0.17683095638565952
287,2,0.2007636083080982
287,3,0.6224054353062423
288,1,0.48627296082895594
288,2,0.0343906862875798
288,3,0.35098618446944807
288,5,0.1283501684140163
289,1,0.15256807593302718
289,2,0.14160775156685926
289,5,0.7058241725001136
290,1,0.5551782748281349
290,3,0.10856196856117116
290,5,0.33625975661069396
291,1,0.5207478699551507
291,2,0.21106281104442667
291,3,0.26818931900042264
292,1,0.4863115376281624
292,2,0.21332996264394707
292,3,0.05708814335210319
292,5,0.24327035637578734
293,2,0.38820300682625686
293,5,0.6117969931737431
294,1,0.24302176076143822
294,2,0.1546133877109902
294,5,0.6023648515275716
295,1,0.79381419992652
295,3,0.10640006240928115
295,4,0.05224984772696278
295,5,0.04753588993723612
296,1,0.5416956618060675
296,2,0.25924390792352126
296,3,0.17607007166246946
296,4,0.022990358607941703
297,1,0.23314897428852846
297,2,0.1905041580069592
297,5,0.5763468677045124
298,1,0.11047449463402333
298,2,0.1806564437673188
298,5,0.7088690615986579
299,1,0.4629715617634295
299,5,0.5370284382365705
300,1,0.5117201008626762
300,2,0.2580542113507707
300,3,0.14165241805737833
300,4,0.08857326972917481
301,1,0.7448204772612816
301,3,0.1923958630472114
301,4,0.06278365969150695
302,1,0.8334802565849788
302,3,0.04227545554328552
302,4,0.12424428787173573
303,1,0.49420827923191557
303,2,0.2876519148941746
303,3,0.03257125892482114
303,4,0.06335836854985138
303,5,0.12221017839923727
304,1,0.5810651055448369
304,2,0.13719424427703814
304,3,0.08428809847904893
304,4,0.02482205257457734
304,5,0.17263049912449868
305,1,0.18645820314859418
305,2,0.1803080179261184
305,4,0.019549953269217615
305,5,0.6136838256560698
306,1,0.3936029973702633
306,3,0.24888193431793257
306,4,0.07547044118987838
306,5,0.2820446271219259
307,3,0.2546103906376689
307,5,0.7453896093623311
308,3,0.5689833560128468
308,5,0.4310166439871533
309,1,0.09173204497646062
309,3,0.49150822436475516
309,5,0.41675973065878424
310,3,0.48602757120190343
310,5,0.5139724287980966
311,1,0.1246838309435117
311,3,0.48546069006456444
311,4,0.06675218247464275
311,5,0.3231032965172812
312,1,0.11237039926124565
312,3,0.797059527921116
312,5,0.09057007281763839
313,1,0.2737373457223982
313,3,0.5154544832903154
313,5,0.21080817098728644
314,1,0.3209135239359414
314,3,0.6563195221282139
314,5,0.022766953935844703
315,1,0.2895769720170386
315,3,0.5434056693258552
315,5,0.16701735865710624
316,1,0.10847227789372978
316,3,0.19427641024826958
316,4,0.09094769860973169
316,5,0.6063036132482691
317,1,0.026742887938020713
317,4,0.04097020306465205
317,5,0.9322869089973271
318,5,1.0
319,1,0.22093127149127417
319,3,0.015476642058323605
319,4,0.12005924056670389
319,5,0.6435328458836983
320,1,0.1517492900972982
320,2,0.01413365969292562
320,3,0.04430039241075183
320,4,0.05000882927948036
320,5,0.739807828519544
321,1,0.13013777628938367
321,3,0.010168065894256454
321,4,0.0754716640734584
321,5,0.7842224937429015
322,5,1.0
323,3,0.0986096181728075
323,5,0.9013903818271924
324,3,0.07993213655461655
324,4,0.050621355893979834
324,5,0.8694465075514035
325,2,0.11792836007248289
325,3,0.32381405530660473
325,5,0.5582575846209124
326,5,1.0
327,5,1.0
328,3,0.017084703707517013
328,4,0.02876199763437608
328,5,0.9541532986581069
329,5,1.0
330,3,0.03081159450746194
330,5,0.969188405492538
331,3,0.1154376031479044
331,5,0.8845623968520957
332,3,0.12218273050767273
332,4,0.0182843839087129
332,5,0.8595328855836144
333,3,0.11267508779292398
333,4,0.047954856565692004
333,5,0.8393700556413839
334,1,0.019929012194684514
334,3,0.6903724458889161
334,5,0.2896985419163993
335,1,0.11745981018262586
335,3,0.7888157719702165
335,5,0.09372441784715768
336,3,0.2819173477620207
336,5,0.7180826522379794
337,3,0.2083123108537145
337,4,0.0693470306671324
337,5,0.7223406584791532
338,3,0.5531875798019326
338,5,0.4468124201980675
339,3,0.17617954824284723
339,4,0.014233595247299783
339,5,0.8095868565098531
340,3,0.07970916002658697
340,4,0.026716543334306914
340,5,0.8935742966391061
341,3,0.24552954244183073
341,5,0.7544704575581693
342,3,0.6750246633164309
342,5,0.32497533668356915
343,3,0.4799715264351031
343,4,0.08314611471420646
343,5,0.4368823588506903
344,3,0.2833485390329892
344,4,0.031217465012754977
344,5,0.6854339959542558
345,1,0.010556808621611031
345,3,0.5147967984433671
345,4,0.04267207005102012
345,5,0.43197432288400167
346,3,0.5928071602224471
346,5,0.40719283977755294
347,3,0.6708305804370838
347,5,0.3291694195629162
348,1,0.19215896687400877
348,3,0.8078410331259912
349,1,0.18238681724111142
349,3,0.8176131827588886
350,1,0.23332150815497613
350,3,0.6345311072175556
350,5,0.13214738462746833
351,1,0.2005949702654116
351,3,0.39676178553858105
351,5,0.4026432441960072
352,1,0.17249400557653263
352,3,0.4171485183477559
352,5,0.4103574760757115
353,2,0.36432800741290705
353,3,0.46258890140659586
353,5,0.1730830911804972
354,1,0.22367381352230756
354,5,0.7763261864776925
355,1,0.40820799190299645
355,3,0.07008434244230119
355,5,0.5217076656547024
356,1,0.46794563128204797
356,3,0.21169910466667308
356,5,0.3203552640512789
357,1,0.059937171552055246
357,3,0.34658413166280805
357,5,0.5934786967851368
358,1,0.042148581614491684
358,3,0.6123841068060268
358,5,0.34546731157948146
359,3,0.19900778651959658
359,5,0.8009922134804035
360,3,0.12501751767105895
360,5,0.8749824823289409
361,3,0.09257255270077731
361,5,0.9074274472992228
362,1,0.0836382502524912
362,3,0.7658325772025899
362,5,0.15052917254491896
363,1,0.030231530800280848
363,3,0.5409978059925897
363,5,0.4287706632071295
364,3,0.5539326004327738
364,5,0.4460673995672262
365,3,0.4021366288713259
365,5,0.597863371128674
