,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
262,machinery-equipment-production-reference_NLC2,0.02,0.02,10000000.0,machinery-equipment,wy_2009,NLC2,machinery-equipment-production-reference
263,(NG)_gfl_BEC5,0.02,0.02,0.02,glass,wy_2009,BEC5,(NG)_gfl
264,transport-equipment-production-reference_NLC7,0.01,0.01,10000000.0,transport-equipment,wy_2009,NLC7,transport-equipment-production-reference
265,leather-and-textile-production-reference_NLC1,0.01,0.01,10000000.0,leather-and-textile,wy_2009,NLC1,leather-and-textile-production-reference
266,printing-and-media-production-reference_NLC2,0.0,0.0,10000000.0,printing-and-media,wy_2009,NLC2,printing-and-media-production-reference
267,other-industrial-sectors_production-reference_BEC1,0.07,0.07,10000000.0,,wy_2009,BEC1,other-industrial-sectors_production-reference
268,food-beverages-tobacco-production-reference_BEC5,0.07,0.07,10000000.0,food-beverages-tobacco,wy_2009,BEC5,food-beverages-tobacco-production-reference
269,machinery-equipment-production-reference_BEC4,0.02,0.02,10000000.0,machinery-equipment,wy_2009,BEC4,machinery-equipment-production-reference
270,(LN)O_NLC5,0.0,0.0,0.0,chemicals,wy_2009,NLC5,(LN)O
271,other-industrial-sectors_production-reference_BEC7,0.03,0.03,10000000.0,,wy_2009,BEC7,other-industrial-sectors_production-reference
272,(NG)PEA_BEC8,0.02,0.02,0.02,chemicals,wy_2009,BEC8,(NG)PEA
273,Diaphragm_NLC6,0.06,0.06,0.06,chemicals,wy_2009,NLC6,Diaphragm
